Resource ID,Title,Author,Publisher,Published/Issued Date,Type,Home Library,Call Number,Barcode,ISBN
1028,"Religion, the missing dimension of statecraft",,,1995-00-00,Book,Anytown College Library,LB2351 .A30 1995,500028,9780195102802
1029,"Upon these shores : themes in the African American experience, 1600 to the present",,,2000-00-00,Book,Anytown College Library,HV6457 .A17 2000,500029,0415924073
1030,From Babel to dragomans : interpreting the Middle East,"Lewis, Bernard",,2004-00-00,Book,Anytown College Library,PN511 .L97 2004,500030,0195173368
1031,The Meaning of The Holy Qur'an,"Ali, Abdullah Yusuf",,1999-00-00,Book,Anytown College Library,DS35 .A13 1999,500031,0915957760
1032,Family life in Islam,"Ahmad, Khurshid",,1981-00-00,Book,Anytown College Library,JC599 .A48 1981,500032,9780860370161
1033,"Getting to peace : transforming conflict at home, at work, and in the world","Ury, William",,1999-00-00,Book,Anytown College Library,BP55 .U30 1999,500033,9780670887583
1034,"A history of God : the 4000-year quest of Judaism, Christianity, and Islam","Armstrong, Karen",,1993-00-00,Book,Anytown College Library,PN511 .A44 1993,500034,0679426000
1035,Qurani & Masnoon Duas: Dua is Worship,"Hashmi, Farhat, فرحت., هاشمى،",,2004-00-00,Book,Anytown College Library,BL80 .H32 2004,500035,9698665129
1036,The Alhambra,"Irwin, Robert",,2004-00-00,Book,Anytown College Library,LB2351 .I87 2004,500036,0674015681
1037,Milet New Learner's Dictionary: Turkish-English & English-Turkish 2nd Edition,Milet Publishing,,,Book,Anytown College Library,DS35 .M16,500037,9781785080890
1038,Mawqie Almar'at Alnakhbawii FI Mujtamae Alrisala,,,1432-00-00,Book,Anytown College Library,DS35 .A80 1432,500038,9789992177846
1039,Enemy in the mirror : Islamic fundamentalism and the limits of modern rationalism,"Euben, Roxanne Leslie",,1999-00-00,Book,Anytown College Library,BP55 .E54 1999,500039,069105844X
1040,Innocent ecstasy : how Christianity gave America an ethic of sexual pleasure,"Gardella, Peter",,,Book,Anytown College Library,KBP144 .G59,500040,0190609400
1041,A Journey to God: Reflections on the Hikam of Ibn Ataillah,"Auda, Jasser",,2012-00-00,Book,Anytown College Library,HT1126 .A38 2012,500041,190583716X
1042,ealij nafsak bialhubat alsuwda' waleasl walbasl walthawm,"Atiyat, Ahmed",,2010-00-00,Book,Anytown College Library,JC599 .A28 2010,500042,9789957361969
1043,The rise of selfishness in America,"Collier, James Lincoln",,1991-00-00,Book,Anytown College Library,BP75 .C17 1991,500043,9780195052770
1044,"Yeme ha-kalaniyot., One Palestine, complete : Jews and Arabs under the Mandate","Segev, Tom",,2000-00-00,Book,Anytown College Library,D21 .S41 2000,500044,0805048480
1045,Welcome to the homeland : a journey to the rural heart of America's conservative revolution,"Mann, Brian",,2006-00-00,Book,Anytown College Library,BS680 .M16 2006,500045,1586421115
1046,The cross and the crescent : the rise of American evangelicalism and the future of Muslims / Muhammad Arif Zakaullah.,"Zakaullah, Muhammad Arif.",,2004-00-00,Book,Anytown College Library,D21 .Z40 2004,500046,9839541420
1047,Raayaat Al-'Islam: Fi Dhaatis-Sawaara,"Al-Wasfi, Wasfi",,1991-00-00,Book,Anytown College Library,PN511 .A60 1991,500047,9789770232552
1048,Made in Texas : George W. Bush and the Southern takeover of American politics / Michael Lind.,"Lind, Michael",,2003-00-00,Book,Anytown College Library,BP130 .L76 2003,500048,9780465041213
1049,Islam and the economic challenge,"Chapra, M. Umer",,1992-00-00,Book,Anytown College Library,BM535 .C40 1992,500049,0860372170
1050,Al-Yahood fi 'Aql Hu'laa,"al-Masīrī, ʻAbd al-Wahhāb",,1998-00-00,Book,Anytown College Library,BP130 .A23 1998,500050,9770255777
1051,God is not one : the eight rival religions that run the world--and why their differences matter,"Prothero, Stephen R",,2010-00-00,Book,Anytown College Library,BM535 .P65 2010,500051,006157127X
1052,"Journal of Sample Studies, Vol. 3",,,,Book,Anytown College Library,AP95 .J68,500052,977-5224-9-8
1053,A Book With a Mangled Barcode Cell,"Nobody, Ann",,2014-00-00,Book,Anytown College Library,BP130.45 .B57 2014,BP 130.45 .B57 2014,9780882970264
1054,A Book Catalogued Under Both ISBN Forms,"Sample, Author",,2005-00-00,Book,Anytown College Library,BP166.5 .S24 2005,500053,0975960121; 9780975960127
1055,A Book Whose Call Number Is Junk,"Sample, Author",,,Book,Anytown College Library,2106,500054,9780786700783
1056,An Old Book With No ISBN,Anonymous,,,Book,Anytown College Library,D21 .A56 1961,500055,
1057,The Complete Media Collection,,,,Collection,Anytown College Library,,500056,
1058,A Documentary on DVD,,,,Movie,Anytown College Library,,500057,
